label,value,source
РАБОТА С ДОКУМЕНТАМИ,6.4,image2.png
ПРОДВИЖЕНИЕ,7.6,image2.png
АНАЛИЗ И ПЛАНИРОВАНИЕ,4.4,image2.png
ПРИНЯТИЕ РЕШЕНИЙ,1.9,image2.png
РАЗРАБОТКА,4.7,image2.png
ОБЕСПЕЧЕНИЕ ПРОЦЕССА,8.4,image2.png
ПОДДЕРЖКА,9,image2.png
"КОНТРОЛЬ, АУДИТ",4.5,image2.png
ПРОИЗВОДСТВО И ТЕХНОЛОГИИ,3.2,image2.png
ГЕНЕРАТОР ИДЕЙ,4.5,image4.png
ИССЛЕДОВАТЕЛЬ РЕСУРСОВ,5.8,image4.png
СПЕЦИАЛИСТ,5.9,image4.png
АНАЛИТИК,4.4,image4.png
КООРДИНАТОР,5,image4.png
МОТИВАТОР,3,image4.png
ДУША КОМАНДЫ,8.9,image4.png
РЕАЛИЗАТОР,6.2,image4.png
КОНТРОЛЕР,5.5,image4.png
КОНФЛИКТНОСТЬ,2.6,image5.png
ПРОИЗВОДИТЕЛЬ,2.8,image6.png
АДМИНИСТРАТОР,4.5,image6.png
ПРЕДПРИНИМАТЕЛЬ,2.6,image6.png
ИНТЕГРАТОР,8.7,image6.png
ВНЕШНЯЯ МОТИВАЦИЯ,5.8,image2.png
ВНУТРЕННЯЯ МОТИВАЦИЯ,5.8,image2.png
ИНТЕРЕС,6.9,image2.png
ТВОРЧЕСТВО,2.1,image2.png
ПОМОЩЬ ЛЮДЯМ,8.1,image2.png
СЛУЖЕНИЕ ОБЩЕСТВУ,7.1,image2.png
ОБЩЕНИЕ,8.2,image2.png
ВКЛЮЧЕННОСТЬ В КОМАНДУ,6.5,image2.png
ПРИЗНАНИЕ,3.2,image2.png
РУКОВОДСТВО,1,image2.png
ДЕНЬГИ,7.1,image2.png
СВЯЗИ,5.1,image2.png
ЗДОРОВЬЕ,6.8,image2.png
ТРАДИЦИИ,5.2,image2.png
ВЫЧИСЛЕНИЯ,2.9,image3.png
ЛЕКСИКА,4.3,image3.png
ЭРУДИЦИЯ,7.5,image3.png
ПРОСТРАНСТВЕННОЕ МЫШЛЕНИЕ,4.6,image3.png
НЕВЕРБАЛЬНАЯ ЛОГИКА,9,image3.png
ВЕРБАЛЬНАЯ ЛОГИКА,5.3,image3.png
ОБРАБОТКА ИНФОРМАЦИИ,5.1,image3.png
ОБЩИЙ БАЛЛ ИНТЕЛЛЕКТА,5.5,image3.png
ЗАМКНУТОСТЬ,8.4,image4.png
ОБЩИТЕЛЬНОСТЬ,8.4,image4.png
ПАССИВНОСТЬ,3.7,image4.png
АКТИВНОСТЬ,3.7,image4.png
НЕДОВЕРЧИВОСТЬ,6.8,image4.png
ДРУЖЕЛЮБИЕ,6.8,image4.png
НЕЗАВИСИМОСТЬ,10,image4.png
КОНФОРМИЗМ,10,image4.png
МОРАЛЬНАЯ ГИБКОСТЬ,8.8,image4.png
МОРАЛЬНОСТЬ,8.8,image4.png
ИМПУЛЬСИВНОСТЬ,5.8,image4.png
ОРГАНИЗОВАННОСТЬ,5.8,image4.png
ТРЕВОЖНОСТЬ,3.9,image4.png
УРАВНОВЕШЕННОСТЬ,3.9,image4.png
СЕНЗИТИВНОСТЬ,3.2,image4.png
НЕЧУВСТВИТЕЛЬНОСТЬ,3.2,image4.png
ИНТЕЛЛЕКТУАЛЬНАЯ СДЕРЖАННОСТЬ,1.7,image4.png
ЛЮБОЗНАТЕЛЬНОСТЬ,1.7,image4.png
ТРАДИЦИОННОСТЬ,4.6,image4.png
ОРИГИНАЛЬНОСТЬ,4.6,image4.png
КОНКРЕТНОСТЬ,4.2,image4.png
АБСТРАКТНОСТЬ,4.2,image4.png
ЛИДЕРСТВО,4.1,image1.png
МОТИВАЦИЯ ДОСТИЖЕНИЙ,3.4,image1.png
СТРЕССОУСТОЙЧИВОСТЬ,4,image1.png
ОРИЕНТАЦИЯ НА КЛИЕНТА,5.9,image2.png
КОММУНИКАБЕЛЬНОСТЬ,7.2,image2.png
КОМАНДНОСТЬ,4.8,image2.png
ОРГАНИЗОВАННОСТЬ,5.9,image3.png
НОРМАТИВНОСТЬ,7.6,image3.png
ОТВЕТСТВЕННОСТЬ,6.2,image3.png
ИННОВАЦИОННОСТЬ,3.8,image4.png
КОМПЛЕКСНОЕ РЕШЕНИЕ ПРОБЛЕМ,5.9,image4.png
СТРЕМЛЕНИЕ К САМОРАЗВИТИЮ,5.5,image4.png
