metric_name,value
РАБОТА С ДОКУМЕНТАМИ,6.4
ПРОДВИЖЕНИЕ,7.6
АНАЛИЗ И ПЛАНИРОВАНИЕ,4.4
ПРИНЯТИЕ РЕШЕНИЙ,1.9
РАЗРАБОТКА,4.7
ОБЕСПЕЧЕНИЕ ПРОЦЕССА,8.4
ПОДДЕРЖКА,9
КОНТРОЛЬ АУДИТ,4.5
ПРОИЗВОДСТВО И ТЕХНОЛОГИИ,3.2
ГЕНЕРАТОР ИДЕЙ,4.5
ИССЛЕДОВАТЕЛЬ РЕСУРСОВ,5.8
СПЕЦИАЛИСТ,5.9
АНАЛИТИК,4.4
КООРДИНАТОР,5
МОТИВАТОР,3
ДУША КОМАНДЫ,8.9
РЕАЛИЗАТОР,6.2
КОНТРОЛЕР,5.5
КОНФЛИКТНОСТЬ,2.6
ПРОИЗВОДИТЕЛЬНОСТЬ,2.8
АДМИНИСТРАТОР,4.5
ПРЕДПРИНИМАТЕЛЬ,2.6
ИНТЕГРАТОР,8.7
ВНЕШНЯЯ МОТИВАЦИЯ,5.8
ИНТЕРЕС,6.9
ТВОРЧЕСТВО,2.1
ПОМОЩЬ ЛЮДЯМ,8.1
СЛУЖЕНИЕ ОБЩЕСТВУ,7.1
ОБЩЕНИЕ,8.2
ВКЛЮЧЕННОСТЬ В КОМАНДУ,6.5
ПРИЗНАНИЕ,3.2
РУКОВОДСТВО,1
ДЕНЬГИ,7.1
СВЯЗИ,5.1
ЗДОРОВЬЕ,6.8
ТРАДИЦИИ,5.2
ВЫЧИСЛЕНИЯ,2.9
ЛЕКСИКА,4.3
ЭРУДИЦИЯ,7.5
ПРОСТРАНСТВЕННОЕ МЫШЛЕНИЕ,4.6
НЕВЕРБАЛЬНАЯ ЛОГИКА,9
ВЕРБАЛЬНАЯ ЛОГИКА,5.3
ОБРАБОТКА ИНФОРМАЦИИ,5.1
ОБЩИЙ БАЛЛ ИНТЕЛЛЕКТА,5.5
ЗАМКНУТОСТЬ-ОБЩИТЕЛЬНОСТЬ,8.4
ПАССИВНОСТЬ-АКТИВНОСТЬ,3.7
НЕДОВЕРЧИВОСТЬ-ДРУЖЕЛЮБИЕ,6.8
НЕЗАВИСИМОСТЬ-КОНФОРМИЗМ,10
МОРАЛЬНАЯ ГИБКОСТЬ-МОРАЛЬНОСТЬ,8.8
ИМПУЛЬСИВНОСТЬ-ОРГАНИЗОВАННОСТЬ,5.8
ТРЕВОЖНОСТЬ-УРАВНОВЕШЕННОСТЬ,3.9
СЕНЗИТИВНОСТЬ-НЕЧУВСТВИТЕЛЬНОСТЬ,3.2
ИНТЕЛЛЕКТУАЛЬНАЯ СДЕРЖАННОСТЬ-ЛЮБОЗНАТЕЛЬНОСТЬ,1.7
ТРАДИЦИОННОСТЬ-ОРИГИНАЛЬНОСТЬ,4.6
КОНКРЕТНОСТЬ-АБСТРАКНОСТЬ,4.2
ЛИДЕРСТВО,4.1
МОТИВАЦИЯ ДОСТИЖЕНИЙ,3.9
СТРЕССОУСТОЙЧИВОСТЬ,4
ОРИЕНТАЦИЯ НА КЛИЕНТА,5.9
КОММУНИКАБЕЛЬНОСТЬ,7.2
КОМАНДНОСТЬ,4.6
ОРГАНИЗОВАННОСТЬ,5.9
НОРМАТИВНОСТЬ,7.6
ОТВЕТСТВЕННОСТЬ,6.2
ИННОВАЦИОННОСТЬ,3.8
КОМПЛЕКСНОЕ РЕШЕНИЕ ПРОБЛЕМ,5.9
СТРЕМЛЕНИЕ К САМОРАЗВИТИЮ,5.5
